job_title,skills
공업기계 설치·정비원,"산업기계 정비, 진공 및 반도체, 보조, 기계 설치 및 정비, 자동화 기계 관리, 정비능력, 전기 및 전자 기술능력, 전기 관련 역량, 기계 설치, 엔지니어링 스킬, 회전기계정비, 공업기계 설치, 기계 수리, 산업기계 설치, 엔진 점검, PLC, 기계장치 설치, 모터 설치 및 정비원, 전기, 산업용기계 제작, 공업기계 설치 및 정비능력, 바이오에너지 생산시스템 유지보수, 자동화기계 정비원, 현장 설비 제조, 바이오에너지 시스템 유지보수, 공무 경력, 설치, 회전기계 유지보수, 설비 설치 및 정비 역량, 단조설비 정비, 공업기계 설치 및 유지보수, 기계분야 지식, 바이오에너지생산시스템설치, 기계 조립, 현장 작업 경험, 에어컴프레서 서비스, 선반, 전기분야 지식, 정비 기술, CS 모집, 기계설계, 용접, 공업기계 정비, 현장작업능력, 회전기계 정비, 생산관리, 바이오에너지 생산시스템 설치, 단조설비 설치, 바이오에너지 시스템 설치, 산업용기계 조립, 유지보수, 산업용기계 설치, 회전기계설비보수, 기계 정비, PCB 장비 셋업"
공연·영화·음반기획자,"음반기획능력, 영화제작지식, 기획능력, 공연기획능력, 문화예술관련지식"
과수작물 재배원,"작물 재배, 농업 기술"
광고·홍보 전문가,"광고, 홍보, 교육, 전문가능력"
광고·홍보·마케팅사무원,"광고, 홍보, 마케팅, 상품기획, 사무 업무 관련 역량"
광고·홍보·마케팅전문가,"홍보, 마케팅 전략, 마케팅 분석, 마케팅 컨설팅, 브랜드 관리"
교사보조 및 보육보조 서비스 종사원,"설거지, 보육 서비스, 영유아급간식조리, 영아 교육"
금속 공작기계 조작원,"CNC 가공 생산, 제정기(못제조기) 조작, 보조 업무 수행 능력, 가공 기술, 공작기계 조작 기술, 금속 가공 기계 조작, 선반 조작, 금속 가공 기술, CNC 복합기 생산직, 기계 조작능력, 캠가공, MCT 운용 기술, 기계 조작, 포밍기 기계조작, 공작기계 조작능력, 부품 조립, 공작기계 조작, 제조업 생산직 기계조작, 벤딩 기술, 절단기 조작, CNC 가공 작업, CNC 조작, 공작 기계 운용능력, 용접능력, 제작 기술, 프레스기 운전, 생산관리, 제정기(못 제조기) 조작, 생산 공정 이해, 금속 가공, CAM식 자동선반 조작, 용접, 금속공작기계 조작, CNC 선반 기능"
금속가공 기계 조작원,"전조 기술, 프레스 조작, 철판 가공 역량, 기술 역량, 생산직, 금속가공, 기계 조작 능력, 금속 가공 기계 조작능력, 금속가공 기술, 브이컷팅기 조작, 기계 조작능력, 기계 조작, 기계 조작 기술, 안전 규정 숙지, 로링 기술, 제조 공정, 범용밀링, 금속가공 능력, 생산직 기계장비 운전, 제조 생산직, 금형제작, NC밀링기 운전, 야간근무능력, 생산 공정 이해, 금속 가공, 핸들 가공 기술, 자동화 설비 오퍼레이터, ROBOT 조작"
금속가공 제어장치 조작원,"보조능력, 주조능력, 비철금속(동) 전기용해로 용해 관련능력, 금속가공, 용광로 조작, 도가니 조작, 금속 제어 장치 조작, 제어장치 조작, 전기로 조작, 금속가열로 조작, 용해로 조작"
금속기계부품 조립원,"출하지원, 조립, 방산부품 조립, 자동차 커넥터 사출 금형 수리, 금속 제품 조립, 공업기계 부품 조립, 자재관리, 부분품 조립, 기계 부품 조립 능력, 자동차, 생산부 조립팀 관련 업무능력, 사상, 가전 컨넥터, 전자, 농업기계 부품 및 부분품 조립 능력"
금형원,"금형공학, 연구개발"
기계공학 기술자 및 연구원,"식품기계설계, 고도물처리플랜트 기술, 고도물처리플랜트, 연구 역량, 연구원 역량, 제품 개발, 조립 경력, 기계공학, K-방산 정보통신기술, 통합체계지원(IPM), 스마트팜 자동화 개발, 기계엔지니어링, 사무용기계개발, 식품포장기계설계, 자동차부품, 공무업무 담당 역량, 반도체장비설계 기술, 반도체장비설계, 연구 및 개발 관리, 개발 역량, 풍력발전, 자동화기계설계 기술, 자동화장비 생산기술, PCB 자동화기구 설계 기술, 기계공학 기술, 3D작업, 반도체 장비 설계, 고효율엔진, 제품 설계, 치공구설계, 사무용기계설계"
기술 영업원,"마케팅, 반도체, 고객 관리, 중개, 영업전략 마케팅, 영업 전략 수립, 중개능력, 판매관리, 납품관리, 프로젝트 기획, 계약, 고객 응대, 대리점 영업, 5축 기계가공, 기술영업, 견적, 공압제품에 대한 기술이해, 사업개발, 재무평가, 고객응대능력, 영업, 기술능력, 계약 업무 경험, 협상, 영업능력, 계측장비, 병원 영업, 납품 및 기술영업 능력, 해외 영업능력, 고객관리 역량, 전자장비, 영업 기획/전략, 의료기기 영업, 커뮤니케이션능력, 기술 영업, 협상력, 견적서 작성능력, 의료기기 기술, 대리점 개발, X-ray 기기술 영업, 제품영업, 커뮤니케이션 역량"
기타 건설 구조 기능원,"정화조 설치, 건물해체, 인테리어 디자인, 현장작업 관리, 현장 관리, 방음벽 설치, 건설 구조, 건축물 해체계획서 작성, 건설 관리"
기타 건축 마감 기능원,"시설 관리, 현장 관리 능력, 건물 유지보수, 건축 관련 기술력, 현장 관리능력, 영선, 건축 현장 관리"
기타 보건·의료 종사원,"보건 및 의료 관련 역량, 환자운반, 병원내 환자 이송, 환자이송, 의료기기 인허가"
기타 비금속제품 생산기계 조작원,"생산 기술 관리, 품질 검사, 생산 공정 이해, 생산 기계 조작, 제품 생산 기계 조작"
기타 사회복지 종사원,"사회복지능력, 기타 사회복지 역량, 아동돌봄교사, 아동돌봄, 사회복지, 종사원, 아동 돌봄, 교육능력, 생활지도 역량"
기타 스포츠 및 여가서비스 종사원,"야외놀이시설물 관리, 일정 계획 및 조정"
기타 식품 가공 기계 조작원,"제조원 역할, 생산직 역량, 조미식품 제조, 신선조리공정, 생산품 포장, 유지, 기타 식품가공 기술, 냉동고추 입출고, 식품 가공, 제품생산, 제품조립, 식품 안전 및 위생 관리, 빵가루 제조, 향신료 제조, 기계 조작, 식품가공기계 조작, 도시락 제조, 식용유 제조, 식품생산, 제품가공, 생산직능력, 설탕 가공, 식품가공, 식품제조, 제품포장, 커피 가공, 품질검사, 제품검품, 포장"
기타 음식 서비스 종사원,"조리, 서비스"
기타 전기·전자 기기 설치·수리원,"자동화제어 기술, 콘트롤판넬 기술, 기술관리, 정보통신기기 수리, 전기제어기사, 전기, 전기안전관리, 자동화 PLC 프로그래머, 자동화설치제어원, 자동화제어기사, 제어장치 설치 및 정비능력, 자동화설치제어 기술, 전자 설비 조작, 공무직 관련 업무능력, 설치 및 정비능력, 현장 공무 관리, 전기판넬 제작, 전기·전자 기술, FA자동화설치원, 장치 설치와 정비능력, 정보통신기기 설치"
기타 채굴·토목 종사원,"안전시설물 설치/해체 및 관리, 건설자재 정리, 대리석운반, 안전망 설치, 건설현장신호수"
기획·마케팅 사무원,"광고, 홍보, 마케팅전략 수립, 경영·비즈니스 기획, 마케팅, 영어능력, 영업관리, 마케팅 기획, 온라인마케팅 기획, 제품 홍보, 물류 및 유통 전략 관리, 상품기획, SNS관리, 마케팅기획, 해외 영업"
내선 전기공,"전기산업기사채용, 태양열발전시스템 설치, 현장관리, 전기공사원 모집, 전기 공사, 내선 공모집, 전기 공학, 유지보수, 내선 전공"
냉·난방 설비 조작원,"건물냉난방기계설비 조작, 홈플러스 청주점 단기 시설 안전요원, 냉난방 설비 조작, 산업용 냉난방 설비 관리, 자격증 취득, 순찰관리, 건물 운영 및 유지보수, 시설 유지 보수, 유지관리, 냉동시설 관리, 설비 관리, 기계 조작, 설비 조작 관련 역량, 시설관리, 보수, 기계실 장비 조작, 설비 조작"
냉동·냉장·공조기 설치·정비원,"클린룸 운영관리, 산업용 냉동기 설치 및 수리, 수리, 공조기, 냉동, 공조기 설치, 산업보일러 관리, 냉장, 공장용 냉동기계 공무, 공조냉동기능사, 산업용공조기공무, 산업용냉동기 설치 및 수리원, 공장 냉장기계 설비공 유지와 수리, 공장용냉동기계공무, 산업용 냉동기 제조, 산업용 공조기 공무, 설치·정비, 공장용 공조기 설치 및 수리, 공장냉동설비공무, 공조기 정비"
노무사,"인사제도 기획, 노동대학원 졸업 우대, 인사규정 관리, 노무 리스크 관리, 기업노무 경험, 공인노무사 자격증 소지, 노동조합 대응 관련 업무 경력, 노사관련 경력"
농림어업 단순 종사원,"기계장비 운송 전반 지원업무, 종균배지 생산관리"
농업용 및 기타 기계장비 설치·정비원,"농업용 기계장비 설치와 정비, 기타 기계장비 설치와 정비 관련 기술"
대기환경기술자 및 연구원,"과학적 사고능력, 대기 측정, 연구능력, 대기환경관리기술, 환경 기술, 데이터 분석능력, 대기환경 관리, 수질분석"
데이터 전문가,"SQL, 데이터 분석, 데이터 품질관리, PPT능력, 엑셀, 정보처리기사, 한글, 빅데이터 분석기사"
데이터베이스개발자,"데이터베이스 운영, 시스템 백업 및 복구, 데이터베이스 관리, 대규모 데이터 처리, 데이터베이스 성능 최적화, 프로그래밍, 시스템 감시 및 모니터링, CAD능숙, SQL 쿼리 작성, 프로그래밍능력, 데이터 설계, 데이터베이스 보안"
도금·금속분무기 조작원,"전기도금 기술, 금속 가공 기술, 아연도금 기술, 도금 기술, 기계 조작능력, 아노다이징 기술, 조작 기술"
도로운송사무원,"터미널 운행, 운송 운영, 차량 운행 관리, 배차 관리, 사무 업무 관리, 야간 배차 업무, 화물차 배차 관리"
도장원(도장기조작원),"도장 기술, 선박도장 기술, 제품 표준 조립, 생산 능력, 도장기 운영, 자재 수급, 현장 관리, 제품 도장 기계 조작, 제품 도장 전처리, 자동화 기기 운영, 도장기기 관리"
떡 제조원,"생산직 관련 역량, 떡 제조, 떡 생산, 제조 공정 관리"
마케팅·광고·홍보관리자,"홍보, 상품 기획, 마케팅 기획, 코디네이팅"
만화영화작가(애니메이터),"편집, 이펙트, 촬영, 애니메이션 제작"
모바일앱개발자,"데이터베이스, 프로젝트 기획 및 개발, 안드로이드, 플러터, 플러터(Flutter), 프론트엔드 개발, 네트워크 엔지니어링, IOS App, 서버, 백엔드 개발, 서버 및 데이터베이스(DB) 관리, 웹 개발, JAVA 시스템 개발자"
목제품 제조원,"목재 가공 기술, 제품 품질 관리, WOODEN BOX 제작원"
무역 사무원,"사무 업무능력, 이메일 및 전화소통능력, 해외무역 관련 역량, 무역사무 관련 역량, 영업지원, 사무 업무 역량, 문서작성능력, 영어수출입문서작성, 중국어 통역 및 번역, 영어능력, 무역 문서 작성과 해석, 국제무역지식, 협상능력, 영어해외문서수신, 기계설비 A/S 관련 역량, 무역업무(수출입), 영업관리, 회화능력, 무역 업무 경험, 영어능통, 중국어 능통, 업무 추진 능력, 커뮤니케이션능력, 영어통관서류작성, 무역업무"
물류사무원,"입출고 관리, 물류 혁신활동, 물류 관리, 유통관리, 물류 관리사, 운반·하역, 물류 운영, 출하관리, 배송, 물류계획 수립, 물류관리, 입출고관리, 유통 관리, 창고관리, 물류시스템 구축, 보세사, 택배 전산입력, 운반, 자재 관리, 하역"
물리치료사,"근로계약체결, 도수치료능력, 남자 치료사, 의료, 응시자격, 근로계약, 물리치료, 물리치료사 근무, 물리치료사 국가고시, 병역, 입사지원 현황 통계, 면제자, 작업치료, 입사지원"
물품이동장비 조작원 (크레인·호이스트·지게차),"운전 기술, 건설용 호이스트 운전"
미디어 콘텐츠 디자이너,"영상디자인, 사진 편집, 2D 디자인, 디자인, 방송CG 제작"
미용사,"미용 기술능력, 고객 응대"
바닥재 시공원,"바닥시공, 시공팀모집, 콘크리트폴리싱"
반도체공학기술자 및 연구원,"연구개발(R&D), PCB 설계, 제품개발, 반도체회로설계, 엔지니어링, 반도체공정기술, PCB, 반도체검사기술, 제조 기술, 반도체제조기술, 반도체광학, 반도체장비엔지니어링, 신뢰성 평가, 반도체 제조 공정, 품질 보증, 반도체광학엔지니어링, 회로 설계, 반도체회로연구, H/W 회로설계"
방사선사,"주요 제품 직원 할인, 방사선 장비 조작 및 해부학 지식, 수평적 조직문화, 방사선 안전 조치, 방사선 관련 기술, 의료방사선사, 방사선사면허증, 리더십 강화교육, 의료비지원(가족), 자유로운 연차사용, 직책수당, 치료방사선사, 방사선 관련 역량, 의료지원, 각종 경조사 지원, 방사선측정 및 방사선 안전에 대한 지식, 진단방사선사, 해외연수지원"
방송·통신·인터넷 케이블 설치·수리원,"작업능률, 고소차 운영, 통신공사 현장 작업 역량, 통신케이블 설치, 수리 역량, 고소차 운영작업, TV 개통/AS지원, 인터넷, 문제해결능력"
방송기자,"인터넷 뉴스 편집 및 업로드, 기획, 취재 역량, 편집 역량, 보도 역량, 보도자료 편집, 열정, 기사 업로드, 도전정신, 뉴스 제작, 분석, 미디어 산업 지식"
방역원,"분무기 사용, 현장근무, 구충, 멸균관리, 방역 관련 역량, 병충해박멸, 방역, 건물소독, 해충퇴치"
방재 기술자 및 연구원,"소방 안전 관리 기술, 소방 시설 점검 및 정비, 연구 능력, 팀 협업력, 소방시설 안전 관리, 소방방재기사, 소방시설 점검 및 정비능력, 방재 기술, 소방 시설 안전 관리, 소방시설점검"
버스 운전원,"근무 스케줄 조정능력, 승강장 관리, 스케줄 관리능력, 통근 및 통학 운송 서비스, 승객 안내, 운전기술, 통근차량 운행, 승객 안전 및 서비스 제공, 버스 운전 기술, 안전 주행능력, 승객 안전 관리, 차량 관리, 마을버스 운전, 차량 관리 및 정비 skills, 학원 차량 운행, 시내버스 운전, 노선 숙지, 자격 1종 대형면허, 버스 운전자격증 소지, 화물 경력 우대, 스케줄 근무, 안전 운전 추진력, 버스 운전자 자체 교육 후 채용, 경력 적용 일정, 운전 역량, 긴급 상황 대처 능력, 서비스 마인드, 환경 관리 역량, 운전 기술"
번역가,"번역 능력, 영어 번역, 언어 전문가능력"
변리사,"법무 업무, 특허 대상 발명의 발굴, 게임 및 SW 관련 특허 업무 경험, 특허 업무, 특허출원 활성화 전략 수립 및 실행, 인허가 업무, 기업 IP 담당"
변호사,"법률자문, 법률 상식, 송무 분쟁처리, 노동법, 법무행정, 계약검토, 상담 역량, 변호 활동, 소송 절차"
보육교사,"보육센터장, 보육, 책임감, 교육학지식, 창의적인 활동 기획 능력, 어린이집센터장, 보육 활동 지도, 아동 보육 및 교육, 커뮤니케이션 능력, 어린이 교육 및 보육 능력, 교사 역량, 특수교사, 어린이집보육교사, 보육교육, 사랑, 보조 교사 활동, 영아반 교사, 보육 교육, 영아 교육, 보조 및 오후 연장 교사, 어린이집교사, 영아 교육 관련 역량, 보육 활동, 창의력, 팀원과의 협력 능력, 커뮤니케이션능력, 풀꽃유치원 방과후교사, 어린이 교육 역량, 어린이집보조교사, 보조 교사, 언어능력, 학력무관, 어린이 교육"
보일러 설치·정비원,"보일러 관리, 보일러 설치, 보일러 운전, 설치 및 수리 기술, 보일러 수리"
보조교사,"교육능력, 커뮤니케이션능력"
비누·화장품 화학공학기술자 및 연구원,"기기분석, 화장품 제조 기술, HPLC, 컴퓨터 활용 능력, 화장품 제형 연구개발, G.C 제형연구, 안정성 시험"
비서,"비서능력, 일정관리, 주인의 요청 대로 업무를 수행하기, 대응능력, 업무보조, 다국어 능력, 의사소통능력, 기밀유지, 기록관리능력, 비서업무 경험"
비파괴 검사원,"자기비파괴검사, RT, 비파괴검사, 검사성적서 작성, 초음파비파괴검사, 침투비파괴검사, PT, 방사선비파괴검사, 방사선검사"
빅데이터분석가,"SQLP, SQLD, 엑셀능력, 데이터 분석, 데이터 품질관리, ADSP, AI 개발, 빅데이터 분석, 정보처리기사, 빅데이터 분석기사"
사무보조원,"사무보조, 문서수발, 경리, 서류정리, 자재부 관리, 단순 사무 보조 지원, 사무 보조, 역량이 없습니다, 컴퓨터 자격증, 사무 업무 관리, 건물임대관리, 워드작성, PC 활용능력, 회계 보조, 파일링, 엑셀 표 작성, 한글 문서 작성, 한글 및 엑셀 프로그램 사용능력, 사무 보조 업무 수행능력, 매입매출 관리, 법인카드 관리, 내무, 한글문서작성, 문서 작성 능력, 엑셀표 작성, 운전면허증 2종 보통 이상, 사무 보조 역량, 기타 사무 업무, 문서 출력 및 서류 정리, 전산자료 입력, 업무보조, 청소업무, 라벨출력, 대외관리업무, 문서 작성, 엑셀표작성, 감리단 사무 보조, 업무 보조, 한글 사용 가능, 서류 정리, 문서관리, 공공기관 업무 이해, 전자결재 시스템 작성, 차량 소지 여부, 문서작성, 세무대리인, 엑셀, 행정 업무 처리, 소모품 관리"
사무용 전자기기 설치·수리원,"전자기기 설치, A/S실시능력, 사무기기 AS, 전자기기 수리, 프린터 설치, 복사기 수리, 복합기 PC 설치, 프린터 수리"
사서,"수서, 도서대출, 반납, 자료정리"
사진작가 및 사진사,"사진촬영, 포토그래피 관련 기술, 영상편집"
사회복지관리자,"환자상담 및 일지 작성, 사회복지사 필수 역량, 운전 가능자, 공공사업 업무, 정신건강사회복지사 우대, 국고보조사업 유경험 우대, 프로그램 계획 및 진행, 치매검진 업무, 행정업무 경력"
사회복지사,"컴퓨터활용능력, 행정, 치료서비스 지원, 복지연계, 사회복지사업법에 따른 결격사유 미해당, 요양보호사 관리업무, 다문화가족 교육활동, 가족복지, 사회복지사의 자격, 장애인복지 역량, 사회복지사 2급 이상 자격증 소지, 발달장애인 케어, 사회복지사 자격증, 입사지원현황통계, 회계 담당, 요양원 운영 관리, 고객 서비스능력, 자립지원 서비스, 긴급 대응능력, 관련학과 학사학위, 사무업무, 사회복지 관련 역량, 재택의료센터 운영, 노인 및 장애인 복지에 대한 이해, 장애인 활동 지원, 사회복지 지식, 사회복지 분야 학위 소지, 자활사업 운영지원, 사회복지 분야 지식 및 경험, 가정폭력상담원 교육 이수, 관련 사업 경력, 노인복지 서비스, 회복사업, 상담 능력, 포토샵 활용, 사회복지 역량, 승합차 운전 가능능, 사회복지 활동 계획 수립, 방문요양, 사회복지, 장애인자립생활센터 업무, 차량운전, 사회재활교사, 사회복지사 자격증 소지, 문제해결 능력, 운전면허, 성인 발달장애인 주간활동서비스 업무전반 관련 역량, 복지 서비스 제공 능력, 요양원 관리, 서류업무, 팀원 역할 및 협업., 사회복지업무, 상담, 사회복지사 근무 경험, 주간보호센터, 노인복지, 노인복지 역량, 1종 보통운전면허, 건강가정사 또는 사회복지사 자격, 한글/엑셀/ppt 가능, 사회복지 이론과 실무에 대한 이해, 범죄 및 성폭력범죄 조회 시 결격사유 없음, 사회복지사 관련 업무 수행 능력, 아동관리, 야학, 재가복지센터 관리, 지역 사회복지 활동, 사회복지 업무 지식, 운전능력, 사회복지 업무에 대한 이해능력, 치매프로그램, 운전면허 소지, 장애인 지원, 장애인복지, 컴퓨터 활용, 입사지원현황통계분석, 생활복지사 역할 수행 능력, 장애인 복지 서비스, 사회복지사, 지원사업 운영, 커뮤니케이션 능력, 스타렉스 운전, 방문요양분야 경력 관련 기술, 사회복지 관련 업무지식, 컴퓨터 활용 능력 (엑셀 및 기타), 생활복지, 사회재활교사 역량, 방문요양 경력, 아동센터 경력, 사람과의 소통, 행정업무, 사례관리, 사회복지사업법 지식, 방문상담, 성인문해교육, 사회복지 업무, 청각장애인을 위한 사회복지 역량, 노인복지 및 장애인복지 관련 역량, 중증장애인자립지원사업, 운전면허증 1종 소지"
산업 안전원 및 위험 관리원,"위험물 관리, 안전관리"
